iso_code,continent,location,date,new_cases,new_deaths
ALB,Europe,Albania,16/3/20,9,0
ALB,Europe,Albania,17/3/20,4,0
ALB,Europe,Albania,18/3/20,4,1
ALB,Europe,Albania,19/3/20,5,0
ALB,Europe,Albania,20/3/20,6,0
ALB,Europe,Albania,21/3/20,6,0
ALB,Europe,Albania,22/3/20,13,0
ALB,Europe,Albania,23/3/20,15,2
ALB,Europe,Albania,23/4/20,29,0
ALB,Europe,Albania,24/4/20,15,0
ALB,Europe,Albania,25/4/20,34,0
ALB,Europe,Albania,26/4/20,14,1
ALB,Europe,Albania,27/4/20,10,0
ALB,Europe,Albania,28/4/20,14,2
ALB,Europe,Albania,29/4/20,16,0
ALB,Europe,Albania,30/4/20,7,1
ALB,Europe,Albania,1/5/20,9,0
ALB,Europe,Albania,2/5/20,7,0
ALB,Europe,Albania,3/5/20,6,0
ALB,Europe,Albania,4/5/20,8,0
ALB,Europe,Albania,5/5/20,17,0
ALB,Europe,Albania,6/5/20,12,0
ALB,Europe,Albania,7/5/20,10,0
ALB,Europe,Albania,8/5/20,8,0
ALB,Europe,Albania,9/5/20,6,0
ALB,Europe,Albania,10/5/20,12,0
ALB,Europe,Albania,11/5/20,4,0
ALB,Europe,Albania,12/5/20,4,0
ALB,Europe,Albania,13/5/20,4,0
ALB,Europe,Albania,14/5/20,18,0
ALB,Europe,Albania,15/5/20,18,0
ALB,Europe,Albania,16/5/20,17,0
ALB,Europe,Albania,17/5/20,13,0
ALB,Europe,Albania,18/5/20,2,0
ALB,Europe,Albania,19/5/20,1,0
ALB,Europe,Albania,20/5/20,15,0
ALB,Europe,Albania,21/5/20,5,0
ALB,Europe,Albania,22/5/20,12,0
ALB,Europe,Albania,23/5/20,8,0
ALB,Europe,Albania,24/5/20,9,1
ALB,Europe,Albania,25/5/20,6,0
ALB,Europe,Albania,26/5/20,25,1
ALB,Europe,Albania,27/5/20,21,0
ALB,Europe,Albania,28/5/20,26,0
ALB,Europe,Albania,29/5/20,23,0
ALB,Europe,Albania,30/5/20,23,0
ALB,Europe,Albania,31/5/20,15,0
ALB,Europe,Albania,1/6/20,6,0
ALB,Europe,Albania,2/6/20,21,0
ALB,Europe,Albania,3/6/20,20,0
ALB,Europe,Albania,4/6/20,13,0
ALB,Europe,Albania,5/6/20,15,0
ALB,Europe,Albania,6/6/20,20,1
ALB,Europe,Albania,7/6/20,14,0
ALB,Europe,Albania,8/6/20,17,0
ALB,Europe,Albania,9/6/20,36,0
ALB,Europe,Albania,10/6/20,42,0
ALB,Europe,Albania,11/6/20,44,1
ALB,Europe,Albania,12/6/20,31,1
ALB,Europe,Albania,13/6/20,48,0
ALB,Europe,Albania,14/6/20,57,0
ALB,Europe,Albania,15/6/20,69,0
ALB,Europe,Albania,16/6/20,82,1
ALB,Europe,Albania,17/6/20,50,1
ALB,Europe,Albania,18/6/20,66,1
ALB,Europe,Albania,19/6/20,50,3
ALB,Europe,Albania,20/6/20,53,1
ALB,Europe,Albania,21/6/20,71,1
ALB,Europe,Albania,22/6/20,33,0
ALB,Europe,Albania,23/6/20,52,1
ALB,Europe,Albania,24/6/20,67,2
ALB,Europe,Albania,25/6/20,78,2
ALB,Europe,Albania,26/6/20,77,2
ALB,Europe,Albania,27/6/20,61,2
ALB,Europe,Albania,28/6/20,72,2
ALB,Europe,Albania,29/6/20,64,3
ALB,Europe,Albania,30/6/20,69,4
ALB,Europe,Albania,1/7/20,45,3
ALB,Europe,Albania,2/7/20,82,4
ALB,Europe,Albania,3/7/20,90,3
